To,From,Reason for Dishing,Date,Room
@liviade,iviangita3204,"!praise <@!395673197615513600> <@!727934296387616848> <@!789433609320529951> <@!573648007384530954> <@!765317807952494634> <@!749990807238607020> <@!377359211144675330> <@!88836610321289216> <@!480023322080444427> <@!367484103089455108> <@!288019500132073472> <@!417979381332443136> <@!810909042301468763> <@!208321561982271489> <@!434632218246381569> <@!676517295643820032> <@!786574925951008788> <@!751417874886688798> <@!659828514924658688> <@!183879548394274816> <@!757751905140211833> <@!249716522375839746> <@!218915683243655168> <@!118260545211072517> <@!460149781562523650> for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI",Jun-04-2021,🙏praise
@Zeptimus,iviangita3204,"!praise <@!395673197615513600> <@!727934296387616848> <@!789433609320529951> <@!573648007384530954> <@!765317807952494634> <@!749990807238607020> <@!377359211144675330> <@!88836610321289216> <@!480023322080444427> <@!367484103089455108> <@!288019500132073472> <@!417979381332443136> <@!810909042301468763> <@!208321561982271489> <@!434632218246381569> <@!676517295643820032> <@!786574925951008788> <@!751417874886688798> <@!659828514924658688> <@!183879548394274816> <@!757751905140211833> <@!249716522375839746> <@!218915683243655168> <@!118260545211072517> <@!460149781562523650> for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI",Jun-04-2021,🙏praise
@paulo.eth,iviangita3204,"!praise <@!395673197615513600> <@!727934296387616848> <@!789433609320529951> <@!573648007384530954> <@!765317807952494634> <@!749990807238607020> <@!377359211144675330> <@!88836610321289216> <@!480023322080444427> <@!367484103089455108> <@!288019500132073472> <@!417979381332443136> <@!810909042301468763> <@!208321561982271489> <@!434632218246381569> <@!676517295643820032> <@!786574925951008788> <@!751417874886688798> <@!659828514924658688> <@!183879548394274816> <@!757751905140211833> <@!249716522375839746> <@!218915683243655168> <@!118260545211072517> <@!460149781562523650> for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI",Jun-04-2021,🙏praise
@eduardovegap,iviangita3204,"!praise <@!395673197615513600> <@!727934296387616848> <@!789433609320529951> <@!573648007384530954> <@!765317807952494634> <@!749990807238607020> <@!377359211144675330> <@!88836610321289216> <@!480023322080444427> <@!367484103089455108> <@!288019500132073472> <@!417979381332443136> <@!810909042301468763> <@!208321561982271489> <@!434632218246381569> <@!676517295643820032> <@!786574925951008788> <@!751417874886688798> <@!659828514924658688> <@!183879548394274816> <@!757751905140211833> <@!249716522375839746> <@!218915683243655168> <@!118260545211072517> <@!460149781562523650> for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI",Jun-04-2021,🙏praise
@griff,iviangita3204,"!praise <@!395673197615513600> <@!727934296387616848> <@!789433609320529951> <@!573648007384530954> <@!765317807952494634> <@!749990807238607020> <@!377359211144675330> <@!88836610321289216> <@!480023322080444427> <@!367484103089455108> <@!288019500132073472> <@!417979381332443136> <@!810909042301468763> <@!208321561982271489> <@!434632218246381569> <@!676517295643820032> <@!786574925951008788> <@!751417874886688798> <@!659828514924658688> <@!183879548394274816> <@!757751905140211833> <@!249716522375839746> <@!218915683243655168> <@!118260545211072517> <@!460149781562523650> for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI",Jun-04-2021,🙏praise
@Suga,iviangita3204,"!praise <@!395673197615513600> <@!727934296387616848> <@!789433609320529951> <@!573648007384530954> <@!765317807952494634> <@!749990807238607020> <@!377359211144675330> <@!88836610321289216> <@!480023322080444427> <@!367484103089455108> <@!288019500132073472> <@!417979381332443136> <@!810909042301468763> <@!208321561982271489> <@!434632218246381569> <@!676517295643820032> <@!786574925951008788> <@!751417874886688798> <@!659828514924658688> <@!183879548394274816> <@!757751905140211833> <@!249716522375839746> <@!218915683243655168> <@!118260545211072517> <@!460149781562523650> for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI",Jun-04-2021,🙏praise
@Tam2140,iviangita3204,"!praise <@!395673197615513600> <@!727934296387616848> <@!789433609320529951> <@!573648007384530954> <@!765317807952494634> <@!749990807238607020> <@!377359211144675330> <@!88836610321289216> <@!480023322080444427> <@!367484103089455108> <@!288019500132073472> <@!417979381332443136> <@!810909042301468763> <@!208321561982271489> <@!434632218246381569> <@!676517295643820032> <@!786574925951008788> <@!751417874886688798> <@!659828514924658688> <@!183879548394274816> <@!757751905140211833> <@!249716522375839746> <@!218915683243655168> <@!118260545211072517> <@!460149781562523650> for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI",Jun-04-2021,🙏praise
@ddan,iviangita3204,"!praise <@!395673197615513600> <@!727934296387616848> <@!789433609320529951> <@!573648007384530954> <@!765317807952494634> <@!749990807238607020> <@!377359211144675330> <@!88836610321289216> <@!480023322080444427> <@!367484103089455108> <@!288019500132073472> <@!417979381332443136> <@!810909042301468763> <@!208321561982271489> <@!434632218246381569> <@!676517295643820032> <@!786574925951008788> <@!751417874886688798> <@!659828514924658688> <@!183879548394274816> <@!757751905140211833> <@!249716522375839746> <@!218915683243655168> <@!118260545211072517> <@!460149781562523650> for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI",Jun-04-2021,🙏praise
@natesuits,iviangita3204,"!praise <@!395673197615513600> <@!727934296387616848> <@!789433609320529951> <@!573648007384530954> <@!765317807952494634> <@!749990807238607020> <@!377359211144675330> <@!88836610321289216> <@!480023322080444427> <@!367484103089455108> <@!288019500132073472> <@!417979381332443136> <@!810909042301468763> <@!208321561982271489> <@!434632218246381569> <@!676517295643820032> <@!786574925951008788> <@!751417874886688798> <@!659828514924658688> <@!183879548394274816> <@!757751905140211833> <@!249716522375839746> <@!218915683243655168> <@!118260545211072517> <@!460149781562523650> for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI",Jun-04-2021,🙏praise
@heater,iviangita3204,"!praise <@!395673197615513600> <@!727934296387616848> <@!789433609320529951> <@!573648007384530954> <@!765317807952494634> <@!749990807238607020> <@!377359211144675330> <@!88836610321289216> <@!480023322080444427> <@!367484103089455108> <@!288019500132073472> <@!417979381332443136> <@!810909042301468763> <@!208321561982271489> <@!434632218246381569> <@!676517295643820032> <@!786574925951008788> <@!751417874886688798> <@!659828514924658688> <@!183879548394274816> <@!757751905140211833> <@!249716522375839746> <@!218915683243655168> <@!118260545211072517> <@!460149781562523650> for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI",Jun-04-2021,🙏praise
@Juankbell,iviangita3204,"!praise <@!395673197615513600> <@!727934296387616848> <@!789433609320529951> <@!573648007384530954> <@!765317807952494634> <@!749990807238607020> <@!377359211144675330> <@!88836610321289216> <@!480023322080444427> <@!367484103089455108> <@!288019500132073472> <@!417979381332443136> <@!810909042301468763> <@!208321561982271489> <@!434632218246381569> <@!676517295643820032> <@!786574925951008788> <@!751417874886688798> <@!659828514924658688> <@!183879548394274816> <@!757751905140211833> <@!249716522375839746> <@!218915683243655168> <@!118260545211072517> <@!460149781562523650> for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI",Jun-04-2021,🙏praise
@chuygarcia92,iviangita3204,"!praise <@!395673197615513600> <@!727934296387616848> <@!789433609320529951> <@!573648007384530954> <@!765317807952494634> <@!749990807238607020> <@!377359211144675330> <@!88836610321289216> <@!480023322080444427> <@!367484103089455108> <@!288019500132073472> <@!417979381332443136> <@!810909042301468763> <@!208321561982271489> <@!434632218246381569> <@!676517295643820032> <@!786574925951008788> <@!751417874886688798> <@!659828514924658688> <@!183879548394274816> <@!757751905140211833> <@!249716522375839746> <@!218915683243655168> <@!118260545211072517> <@!460149781562523650> for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI",Jun-04-2021,🙏praise
@pavl,iviangita3204,"!praise <@!395673197615513600> <@!727934296387616848> <@!789433609320529951> <@!573648007384530954> <@!765317807952494634> <@!749990807238607020> <@!377359211144675330> <@!88836610321289216> <@!480023322080444427> <@!367484103089455108> <@!288019500132073472> <@!417979381332443136> <@!810909042301468763> <@!208321561982271489> <@!434632218246381569> <@!676517295643820032> <@!786574925951008788> <@!751417874886688798> <@!659828514924658688> <@!183879548394274816> <@!757751905140211833> <@!249716522375839746> <@!218915683243655168> <@!118260545211072517> <@!460149781562523650> for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI",Jun-04-2021,🙏praise
@🐙Musashi13,iviangita3204,"!praise <@!395673197615513600> <@!727934296387616848> <@!789433609320529951> <@!573648007384530954> <@!765317807952494634> <@!749990807238607020> <@!377359211144675330> <@!88836610321289216> <@!480023322080444427> <@!367484103089455108> <@!288019500132073472> <@!417979381332443136> <@!810909042301468763> <@!208321561982271489> <@!434632218246381569> <@!676517295643820032> <@!786574925951008788> <@!751417874886688798> <@!659828514924658688> <@!183879548394274816> <@!757751905140211833> <@!249716522375839746> <@!218915683243655168> <@!118260545211072517> <@!460149781562523650> for joining the TEC Community Call

https://youtu.be/5oaLE4NOvuI",Jun-04-2021,🙏praise
@eduardovegap,Mount Manu3530,!praise <@!573648007384530954> for assisting me in (finally) joining the CS association (and for double-checking on a potential dashboard bug that was a false alarm),Jun-04-2021,🙏praise
@griff,iviangita3204,!praise <@!751417874886688798> <@!395673197615513600> <@!727934296387616848> <@!749990807238607020> <@!480023322080444427> <@!417979381332443136> <@!786574925951008788> <@!183879548394274816> <@!655144629481635841> <@!573648007384530954> for the incredible welcome party for YGG at the Stewards call,Jun-04-2021,🙏praise
@AmwFund,iviangita3204,!praise <@!751417874886688798> <@!395673197615513600> <@!727934296387616848> <@!749990807238607020> <@!480023322080444427> <@!417979381332443136> <@!786574925951008788> <@!183879548394274816> <@!655144629481635841> <@!573648007384530954> for the incredible welcome party for YGG at the Stewards call,Jun-04-2021,🙏praise
@natesuits,iviangita3204,!praise <@!751417874886688798> <@!395673197615513600> <@!727934296387616848> <@!749990807238607020> <@!480023322080444427> <@!417979381332443136> <@!786574925951008788> <@!183879548394274816> <@!655144629481635841> <@!573648007384530954> for the incredible welcome party for YGG at the Stewards call,Jun-04-2021,🙏praise
@Zeptimus,iviangita3204,!praise <@!751417874886688798> <@!395673197615513600> <@!727934296387616848> <@!749990807238607020> <@!480023322080444427> <@!417979381332443136> <@!786574925951008788> <@!183879548394274816> <@!655144629481635841> <@!573648007384530954> for the incredible welcome party for YGG at the Stewards call,Jun-04-2021,🙏praise
@eduardovegap,iviangita3204,!praise <@!751417874886688798> <@!395673197615513600> <@!727934296387616848> <@!749990807238607020> <@!480023322080444427> <@!417979381332443136> <@!786574925951008788> <@!183879548394274816> <@!655144629481635841> <@!573648007384530954> for the incredible welcome party for YGG at the Stewards call,Jun-04-2021,🙏praise
@liviade,iviangita3204,!praise <@!751417874886688798> <@!395673197615513600> <@!727934296387616848> <@!749990807238607020> <@!480023322080444427> <@!417979381332443136> <@!786574925951008788> <@!183879548394274816> <@!655144629481635841> <@!573648007384530954> for the incredible welcome party for YGG at the Stewards call,Jun-04-2021,🙏praise
@Juankbell,iviangita3204,!praise <@!751417874886688798> <@!395673197615513600> <@!727934296387616848> <@!749990807238607020> <@!480023322080444427> <@!417979381332443136> <@!786574925951008788> <@!183879548394274816> <@!655144629481635841> <@!573648007384530954> for the incredible welcome party for YGG at the Stewards call,Jun-04-2021,🙏praise
@chuygarcia92,iviangita3204,!praise <@!751417874886688798> <@!395673197615513600> <@!727934296387616848> <@!749990807238607020> <@!480023322080444427> <@!417979381332443136> <@!786574925951008788> <@!183879548394274816> <@!655144629481635841> <@!573648007384530954> for the incredible welcome party for YGG at the Stewards call,Jun-04-2021,🙏praise
@Suga,iviangita3204,!praise <@!751417874886688798> <@!395673197615513600> <@!727934296387616848> <@!749990807238607020> <@!480023322080444427> <@!417979381332443136> <@!786574925951008788> <@!183879548394274816> <@!655144629481635841> <@!573648007384530954> for the incredible welcome party for YGG at the Stewards call,Jun-04-2021,🙏praise
@Tam2140,iviangita3204,!praise <@!751417874886688798> <@!395673197615513600> <@!727934296387616848> <@!749990807238607020> <@!480023322080444427> <@!417979381332443136> <@!786574925951008788> <@!183879548394274816> <@!655144629481635841> <@!573648007384530954> for the incredible welcome party for YGG at the Stewards call,Jun-04-2021,🙏praise
@Juankbell,iviangita3204,!praise <@!749990807238607020> @juiloholon for their awesome contributions in the discussion in the Polycentric Gov session,Jun-04-2021,🙏praise
@Vyvy-vi,KZ Flyer0926,!praise <@!558192816308617227> for dishing out praise giver upgrades!,Jun-04-2021,🙏praise
@James | NEAR,iviangita3204,!praise <@!620452002425470977> <@!291388682710024192> for organizing the Polycentric Gov session and bringing so much relevance in governance thoughts in general,Jun-04-2021,🙏praise
@eugene,iviangita3204,!praise <@!620452002425470977> <@!291388682710024192> for organizing the Polycentric Gov session and bringing so much relevance in governance thoughts in general,Jun-04-2021,🙏praise
@yoda,iviangita3204,!praise <@!88836610321289216> <@!754295268228202617> <@!681157547482153011> <@!755425059518021733> <@!586933151134253152> <@!839914993998495765> for being new joiners and reaching out to contribute and cross-pollinate,Jun-04-2021,🙏praise
@lEscanore,iviangita3204,!praise <@!88836610321289216> <@!754295268228202617> <@!681157547482153011> <@!755425059518021733> <@!586933151134253152> <@!839914993998495765> for being new joiners and reaching out to contribute and cross-pollinate,Jun-04-2021,🙏praise
@Andeh,iviangita3204,!praise <@!88836610321289216> <@!754295268228202617> <@!681157547482153011> <@!755425059518021733> <@!586933151134253152> <@!839914993998495765> for being new joiners and reaching out to contribute and cross-pollinate,Jun-04-2021,🙏praise
@Mensch,iviangita3204,!praise <@!88836610321289216> <@!754295268228202617> <@!681157547482153011> <@!755425059518021733> <@!586933151134253152> <@!839914993998495765> for being new joiners and reaching out to contribute and cross-pollinate,Jun-04-2021,🙏praise
@Shaila,iviangita3204,!praise <@!88836610321289216> <@!754295268228202617> <@!681157547482153011> <@!755425059518021733> <@!586933151134253152> <@!839914993998495765> for being new joiners and reaching out to contribute and cross-pollinate,Jun-04-2021,🙏praise
@MehighCB,iviangita3204,!praise <@!88836610321289216> <@!754295268228202617> <@!681157547482153011> <@!755425059518021733> <@!586933151134253152> <@!839914993998495765> for being new joiners and reaching out to contribute and cross-pollinate,Jun-04-2021,🙏praise
@Zeptimus,Zeptimus3359,!praise <@!727934296387616848> <@!753834288511713303> <@!789433609320529951> <@!183879548394274816>  for working on platform rules https://docs.google.com/document/d/1hnwSQn4vxboxazraX2qPwa25bBBrvk3TpXsSDkXhqCM/edit,Jun-04-2021,🙏praise
@chuygarcia92,Zeptimus3359,!praise <@!727934296387616848> <@!753834288511713303> <@!789433609320529951> <@!183879548394274816>  for working on platform rules https://docs.google.com/document/d/1hnwSQn4vxboxazraX2qPwa25bBBrvk3TpXsSDkXhqCM/edit,Jun-04-2021,🙏praise
@iviangita,Zeptimus3359,!praise <@!727934296387616848> <@!753834288511713303> <@!789433609320529951> <@!183879548394274816>  for working on platform rules https://docs.google.com/document/d/1hnwSQn4vxboxazraX2qPwa25bBBrvk3TpXsSDkXhqCM/edit,Jun-04-2021,🙏praise
@ddan,Zeptimus3359,!praise <@!727934296387616848> <@!753834288511713303> <@!789433609320529951> <@!183879548394274816>  for working on platform rules https://docs.google.com/document/d/1hnwSQn4vxboxazraX2qPwa25bBBrvk3TpXsSDkXhqCM/edit,Jun-04-2021,🙏praise
@griff,Zeptimus3359,!praise <@!395673197615513600> for talking about Jam for Team up with friends and create a stash of shared accounts 😄 and <@!377359211144675330>  for his research to find out this is the best one 😄,Jun-04-2021,🙏praise
@Kris,Zeptimus3359,!praise <@!395673197615513600> for talking about Jam for Team up with friends and create a stash of shared accounts 😄 and <@!377359211144675330>  for his research to find out this is the best one 😄,Jun-04-2021,🙏praise
@durgadas,natesuits4789,!praise <@!249005209710362624> for being the greatest Hubspot Educator & Comms/Marketing Expert! You are an invaluable resource!,Jun-04-2021,🙏praise
@KZ Flyer,iviangita3204,!praise <@!433877864849473557> <@!378444088900321301> <@!808991142057213955> for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️,Jun-04-2021,🙏praise
@paul2,iviangita3204,!praise <@!433877864849473557> <@!378444088900321301> <@!808991142057213955> for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️,Jun-04-2021,🙏praise
@Lin,iviangita3204,!praise <@!433877864849473557> <@!378444088900321301> <@!808991142057213955> for mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️,Jun-04-2021,🙏praise
@Zeptimus,iviangita3204,!praise <@!659828514924658688> <@!183879548394274816> <@!676517295643820032> <@!727934296387616848> <@!319946214135037953> for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,Jun-04-2021,🙏praise
@sem  🐝,iviangita3204,!praise <@!659828514924658688> <@!183879548394274816> <@!676517295643820032> <@!727934296387616848> <@!319946214135037953> for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,Jun-04-2021,🙏praise
@ygg_anderson,iviangita3204,!praise <@!659828514924658688> <@!183879548394274816> <@!676517295643820032> <@!727934296387616848> <@!319946214135037953> for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,Jun-04-2021,🙏praise
@CurlyBracketEffect,iviangita3204,!praise <@!659828514924658688> <@!183879548394274816> <@!676517295643820032> <@!727934296387616848> <@!319946214135037953> for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,Jun-04-2021,🙏praise
@chuygarcia92,iviangita3204,!praise <@!659828514924658688> <@!183879548394274816> <@!676517295643820032> <@!727934296387616848> <@!319946214135037953> for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn! 💪🙏,Jun-04-2021,🙏praise
@metaverde,metaverde2503,!praise <@!367484103089455108> for helping juankbell intro Gravity in the 1Hive cafe call.,Jun-05-2021,🙏praise
@metaverde,metaverde2503,"!praise <@!367484103089455108> for injecting Gravity into the Alvin drama.
https://discordapp.com/channels/698287700834517064/816735580657680414/850965030270140426",Jun-06-2021,🙏praise
@griff,griff3281,!praise <@!714915268329078894> <@!659828514924658688> <@!757751905140211833> <@!395673197615513600> <@!768695037835083826> <@!492394339532800020> for coming to the Params Hack Sesh,Jun-06-2021,🙏praise
@ygg_anderson,griff3281,!praise <@!714915268329078894> <@!659828514924658688> <@!757751905140211833> <@!395673197615513600> <@!768695037835083826> <@!492394339532800020> for coming to the Params Hack Sesh,Jun-06-2021,🙏praise
@Nuggan,griff3281,!praise <@!714915268329078894> <@!659828514924658688> <@!757751905140211833> <@!395673197615513600> <@!768695037835083826> <@!492394339532800020> for coming to the Params Hack Sesh,Jun-06-2021,🙏praise
@maghaali,griff3281,!praise <@!714915268329078894> <@!659828514924658688> <@!757751905140211833> <@!395673197615513600> <@!768695037835083826> <@!492394339532800020> for coming to the Params Hack Sesh,Jun-06-2021,🙏praise
@karmaticacid,griff3281,!praise <@!714915268329078894> <@!659828514924658688> <@!757751905140211833> <@!395673197615513600> <@!768695037835083826> <@!492394339532800020> for coming to the Params Hack Sesh,Jun-06-2021,🙏praise
@🐙Musashi13,griff3281,!praise <@!714915268329078894> <@!659828514924658688> <@!757751905140211833> <@!395673197615513600> <@!768695037835083826> <@!492394339532800020> for coming to the Params Hack Sesh,Jun-06-2021,🙏praise
@Nuggan,griff3281,!praise <@!714915268329078894> for jumping into the Augmented Bonding Curve Modeling,Jun-06-2021,🙏praise
@ygg_anderson,griff3281,!praise <@!659828514924658688> for the awesome screenshare and hacking on the praise analysis all week (and in the params hack sesh),Jun-06-2021,🙏praise
@maghaali,griff3281,!praise <@!768695037835083826> for staying up past 2am to work on organizing all the python code into a deployable app... AND DEPLOYING IT!!! https://bondingcurve.herokuapp.com/app,Jun-06-2021,🙏praise
@eduardovegap,Paula I Ape Unit8497,!praise <@!573648007384530954> for super quick response of my question on how to edit our proposal in the forum!,Jun-07-2021,🙏praise
@T Wells,markop2007,!praise <@!760279960991694848> for designing the Working Groups page and working on TEC onboarding.,Jun-07-2021,🙏praise
@Suga,markop2007,!praise <@!786574925951008788> for working on TEC Onboarding UX,Jun-07-2021,🙏praise
@Zeptimus,iviangita3204,!praise <@!183879548394274816> <@!753834288511713303> <@!727934296387616848> <@!749990807238607020> for joining the Transparency sync and contributing ideas to keep improving our processes,Jun-07-2021,🙏praise
@chuygarcia92,iviangita3204,!praise <@!183879548394274816> <@!753834288511713303> <@!727934296387616848> <@!749990807238607020> for joining the Transparency sync and contributing ideas to keep improving our processes,Jun-07-2021,🙏praise
@Juankbell,iviangita3204,!praise <@!183879548394274816> <@!753834288511713303> <@!727934296387616848> <@!749990807238607020> for joining the Transparency sync and contributing ideas to keep improving our processes,Jun-07-2021,🙏praise
@iviangita,iviangita3204,!praise <@!183879548394274816> <@!753834288511713303> <@!727934296387616848> <@!749990807238607020> for joining the Transparency sync and contributing ideas to keep improving our processes,Jun-07-2021,🙏praise
@lEscanore,iviangita3204,"!praise <@!88836610321289216> <@!367484103089455108> <@!753834288511713303> for coming to the weekly Twitter sync and providing updates, feedback and inputs to our Twitter strategy, which are very helpful!!! 🙏🏼",Jun-07-2021,🙏praise
@metaverde,iviangita3204,"!praise <@!88836610321289216> <@!367484103089455108> <@!753834288511713303> for coming to the weekly Twitter sync and providing updates, feedback and inputs to our Twitter strategy, which are very helpful!!! 🙏🏼",Jun-07-2021,🙏praise
@iviangita,iviangita3204,"!praise <@!88836610321289216> <@!367484103089455108> <@!753834288511713303> for coming to the weekly Twitter sync and providing updates, feedback and inputs to our Twitter strategy, which are very helpful!!! 🙏🏼",Jun-07-2021,🙏praise
@JoeZ,Tam21409361,!praise <@!837332988852961350> for being such a g-damn badass and spending hours and hours on the TEC visual explainers that are absolutely beautiful and clear and concise!,Jun-07-2021,🙏praise
@acidlazzer,Mount Manu3530,!praise <@!587095069115285524> for helping me with the graphic design for the community WHY video,Jun-08-2021,🙏praise
@Tam2140,Mount Manu3530,"!praise <@!751417874886688798> for onboarding me (way back when, when I couldn't praise yet)",Jun-08-2021,🙏praise
@Tam2140,markop2007,!praise <@751417874886688798> for creating TEC visual explainer chart.,Jun-08-2021,🙏praise
@Dan Knobelsdorf.eth,Tam21409361,!praise <@!394919909454512138> for rolling up your sleeves and digging into the xls for IH & TS activtion tracking!,Jun-08-2021,🙏praise
@lEscanore,iviangita3204,!praise <@!88836610321289216> for building the list of DAOs and token engineers we can engage with on Twitter 😄,Jun-08-2021,🙏praise
@AmwFund,Tam21409361,!praise <@!655144629481635841> for getting the TEC mail / hubspot all sorted and worked out! Woooooot!,Jun-08-2021,🙏praise
@durgadas,Tam21409361,"!praise <@!249005209710362624> <@!183879548394274816> <@!753834288511713303> for their account/access management solution, where do I sign up!?",Jun-08-2021,🙏praise
@Zeptimus,Tam21409361,"!praise <@!249005209710362624> <@!183879548394274816> <@!753834288511713303> for their account/access management solution, where do I sign up!?",Jun-08-2021,🙏praise
@iviangita,Tam21409361,"!praise <@!249005209710362624> <@!183879548394274816> <@!753834288511713303> for their account/access management solution, where do I sign up!?",Jun-08-2021,🙏praise
@acidlazzer,Tam21409361,!praise <@!587095069115285524> for the Hatch designs you presented today. Looking forward to the future iterations you share.,Jun-08-2021,🙏praise
@Mount Manu,Vyvy-vi5040,!praise <@!480128711941685289> This iteration of the community video looks really promising! <a:Teto_Dance:780239849269493760>,Jun-08-2021,🙏praise
@Mount Manu,natesuits4789,!praise <@!587095069115285524> for the awesome TEC Hatch Designs and <@!480128711941685289> for the development of our awesome Community Video!,Jun-08-2021,🙏praise
@acidlazzer,natesuits4789,!praise <@!587095069115285524> for the awesome TEC Hatch Designs and <@!480128711941685289> for the development of our awesome Community Video!,Jun-08-2021,🙏praise
@fahern,chuygarcia926692,!praise <@!587095069115285524> <@!417979381332443136> <@!480128711941685289> <@!786574925951008788> <@!142474743029694464> <@!655144629481635841> <@!249005209710362624> <@!183879548394274816> <@!753834288511713303> <@!492394339532800020> <@!558192816308617227> <@!749990807238607020> for attending Comms WG,Jun-08-2021,🙏praise
@durgadas,chuygarcia926692,!praise <@!587095069115285524> <@!417979381332443136> <@!480128711941685289> <@!786574925951008788> <@!142474743029694464> <@!655144629481635841> <@!249005209710362624> <@!183879548394274816> <@!753834288511713303> <@!492394339532800020> <@!558192816308617227> <@!749990807238607020> for attending Comms WG,Jun-08-2021,🙏praise
@AmwFund,chuygarcia926692,!praise <@!587095069115285524> <@!417979381332443136> <@!480128711941685289> <@!786574925951008788> <@!142474743029694464> <@!655144629481635841> <@!249005209710362624> <@!183879548394274816> <@!753834288511713303> <@!492394339532800020> <@!558192816308617227> <@!749990807238607020> for attending Comms WG,Jun-08-2021,🙏praise
@natesuits,chuygarcia926692,!praise <@!587095069115285524> <@!417979381332443136> <@!480128711941685289> <@!786574925951008788> <@!142474743029694464> <@!655144629481635841> <@!249005209710362624> <@!183879548394274816> <@!753834288511713303> <@!492394339532800020> <@!558192816308617227> <@!749990807238607020> for attending Comms WG,Jun-08-2021,🙏praise
@Zeptimus,chuygarcia926692,!praise <@!587095069115285524> <@!417979381332443136> <@!480128711941685289> <@!786574925951008788> <@!142474743029694464> <@!655144629481635841> <@!249005209710362624> <@!183879548394274816> <@!753834288511713303> <@!492394339532800020> <@!558192816308617227> <@!749990807238607020> for attending Comms WG,Jun-08-2021,🙏praise
@Mount Manu,chuygarcia926692,!praise <@!587095069115285524> <@!417979381332443136> <@!480128711941685289> <@!786574925951008788> <@!142474743029694464> <@!655144629481635841> <@!249005209710362624> <@!183879548394274816> <@!753834288511713303> <@!492394339532800020> <@!558192816308617227> <@!749990807238607020> for attending Comms WG,Jun-08-2021,🙏praise
@Vyvy-vi,chuygarcia926692,!praise <@!587095069115285524> <@!417979381332443136> <@!480128711941685289> <@!786574925951008788> <@!142474743029694464> <@!655144629481635841> <@!249005209710362624> <@!183879548394274816> <@!753834288511713303> <@!492394339532800020> <@!558192816308617227> <@!749990807238607020> for attending Comms WG,Jun-08-2021,🙏praise
@Juankbell,chuygarcia926692,!praise <@!587095069115285524> <@!417979381332443136> <@!480128711941685289> <@!786574925951008788> <@!142474743029694464> <@!655144629481635841> <@!249005209710362624> <@!183879548394274816> <@!753834288511713303> <@!492394339532800020> <@!558192816308617227> <@!749990807238607020> for attending Comms WG,Jun-08-2021,🙏praise
@Suga,chuygarcia926692,!praise <@!587095069115285524> <@!417979381332443136> <@!480128711941685289> <@!786574925951008788> <@!142474743029694464> <@!655144629481635841> <@!249005209710362624> <@!183879548394274816> <@!753834288511713303> <@!492394339532800020> <@!558192816308617227> <@!749990807238607020> for attending Comms WG,Jun-08-2021,🙏praise
@karmaticacid,chuygarcia926692,!praise <@!587095069115285524> <@!417979381332443136> <@!480128711941685289> <@!786574925951008788> <@!142474743029694464> <@!655144629481635841> <@!249005209710362624> <@!183879548394274816> <@!753834288511713303> <@!492394339532800020> <@!558192816308617227> <@!749990807238607020> for attending Comms WG,Jun-08-2021,🙏praise
@acidlazzer,chuygarcia926692,!praise <@!587095069115285524> <@!417979381332443136> <@!480128711941685289> <@!786574925951008788> <@!142474743029694464> <@!655144629481635841> <@!249005209710362624> <@!183879548394274816> <@!753834288511713303> <@!492394339532800020> <@!558192816308617227> <@!749990807238607020> for attending Comms WG,Jun-08-2021,🙏praise
@iviangita,chuygarcia926692,!praise <@!587095069115285524> <@!417979381332443136> <@!480128711941685289> <@!786574925951008788> <@!142474743029694464> <@!655144629481635841> <@!249005209710362624> <@!183879548394274816> <@!753834288511713303> <@!492394339532800020> <@!558192816308617227> <@!749990807238607020> for attending Comms WG,Jun-08-2021,🙏praise
